Entry	Entry Name	Gene Names
A6QGC0	PRKC_STAAE	prkC NWMN_1130
D5TM67	CDAS_BACT1	cdaS dacB BMB171_C4535
O32727	SP2AB_GEOSE	spoIIAB
O34327	RAPJ_BACSU	rapJ ycdE BSU02820
O34398	LIGD_BACSU	ligd ykoU BSU13400
O34507	PRKC_BACSU	prkC yloP BSU15770
O34928	PDAA_BACSU	pdaA yfjS BSU07980
O35002	CTPB_BACSU	ctpB yvjB BSU35240
P00782	SUBT_BACAM	apr
P04189	SUBT_BACSU	aprE apr aprA sprE BSU10300
P05043	SP0E_BACSU	spo0E BSU13640
P05519	CR4BA_BACTI	cry4Ba bt8 cry4B cryD2 cryIVB(a) isrH3
P06534	SP0A_BACSU	spo0A spo0C spo0G BSU24220
P06575	BINA1_LYSSH	binA
P07788	COTA_BACSU	cotA pig BSU06300
P07860	RPSF_BACSU	sigF spoIIAC BSU23450
P08164	NADE_BACSU	nadE outB BSU03130
P10728	SP2AB_BACSU	spoIIAB BSU23460
P13801	SP2G_BACSU	spoIIGA BSU15310
P16655	DIVIB_BACSU	divIB dds BSU15240
P17556	DHA_LYSSH	ald
P17896	SP4B_BACSU	spoIVB BSU24230
P20964	OBG_BACSU	obg BSU27920
P21340	PAIA_BACSU	paiA BSU32150
P21458	SP3E_BACSU	spoIIIE ftsK BSU16800
P24141	OPPA_BACSU	oppA spo0KA BSU11430
P26937	SP4FB_BACSU	spoIVFB bofB BSU27970
P32960	RACX_BACSU	racX BSU34430
P35149	SP4A_BACSU	spoIVA spoVP BSU22800
P35835	SUBN_BACNA	aprN
P37475	SP2E_BACSU	spoIIE spoIIH BSU00640
P37484	GDPP_BACSU	gdpP yybT BSU40510
P37522	SOJ_BACSU	soj orf253 parA BSU40970
P37534	GIN_BACSU	csfB gin yaaM BSU00240
P37542	YABA_BACSU	yabA BSU00330
P37817	SPOVM_BACSU	spoVM BSU15810
P37869	ENO_BACSU	eno BSU33900
P37956	SPL_BACSU	splB spl BSU13930
P39065	ACUA_BACSU	acuA BSU29690
P39773	GPMI_BACSU	gpmI pgm BSU33910
P40288	DHG_PRIMG	NA
P45453	COMX_BACSU	comX BSU31700
P54507	TASA_BACSU	tasA cotN yqhF BSU24620
P71021	DIV4A_BACSU	divIVA ylmJ BSU15420
P94416	PHRC_BACSU	phrC hprC BSU03780
Q00828	RAPA_BACSU	rapA gsiAA spo0L BSU12430
Q00829	PHRA_BACSU	phrA gsiAB BSU12440
Q06320	CWLC_BACSU	cwlC BSU17410
Q07868	PBP2B_BACSU	pbpB BSU15160
Q182W3	SP4A_CLOD6	spoIVA CD630_26290
Q59HN7	PHRH_BACSU	phrH BSU06839
Q59HN8	RAPH_BACSU	rapH yeeH yzqA BSU06830
Q7AKG8	RSRA_STRCO	rsrA SCO5217
Q7AKI9	WHID_STRCO	whiD wblB whiB3 SCO4767
Q81WH6	PRKC_BACAN	prkC BA_4000 GBAA_4000 BAS3713
Q81X77	GPMI_BACAN	gpmI gpmA BA_5365 GBAA_5365 BAS4986
Q9L268	SSGB_STRCO	ssgB SCO1541
Q9WX11	BLDN_STRCO	bldN whiN SCO3323 SCE68.21
Q9X519	GPMI_GEOSE	gpmI pgm
Q9ZN78	AFRP_STRGR	arpA
A0PZS6	SP2AB_CLONN	spoIIAB NT01CX_1805
A0RI78	SP2AB_BACAH	spoIIAB BALH_3691
A4IQI5	SP2AB_GEOTN	spoIIAB GTNG_2240
A5N217	SP2AB_CLOK5	spoIIAB CKL_3155
A6LRL7	SP2AB_CLOB8	spoIIAB Cbei_0813
A7GS97	SP2AB_BACCN	spoIIAB Bcer98_2772
A7Z692	SP2AB_BACVZ	spoIIAB RBAM_021570
A8FET0	SP2AB_BACP2	spoIIAB BPUM_2077
A9VFH8	SP2AB_BACMK	spoIIAB BcerKBAB4_3904
B0K150	SP2AB_THEPX	spoIIAB Teth514_1558
B0K9G3	SP2AB_THEP3	spoIIAB Teth39_1121
B2TLY1	SP2AB_CLOBB	spoIIAB CLL_A0875
B2V2G9	SP2AB_CLOBA	spoIIAB CLH_0842
B7GKG6	SP2AB_ANOFW	spoIIAB Aflv_1003
B7H965	SP2AB_BACC4	spoIIAB BCB4264_A4183
B7HN53	SP2AB_BACC7	spoIIAB BCAH187_A4206
B7IWI6	SP2AB_BACC2	spoIIAB BCG9842_B1055
B7JLS6	SP2AB_BACC0	spoIIAB BCAH820_4095
B9E5R9	SP2AB_CLOK1	spoIIAB CKR_2793
B9IWT7	SP2AB_BACCQ	spoIIAB BCQ_3864
C0SP90	YTHA_BACSU	ythA BSU30710
C1EQU8	SP2AB_BACC3	spoIIAB BCA_4186
C3LIU0	SP2AB_BACAC	spoIIAB BAMEG_4335
C3P7L0	SP2AB_BACAA	spoIIAB BAA_4317
C5D403	SP2AB_GEOSW	spoIIAB GWCH70_2251
C9RZ55	SPL_GEOSY	splG GYMC61_0226
O05272	ASNO_BACSU	asnO yisO yucB BSU10790
O31614	PRPE_BACSU	prpE yjbP BSU11630
O31671	KIND_BACSU	kinD ykvD BSU13660
O32032	PBPI_BACSU	pbpI yrrR BSU27310
